country,year,gdp_per_hour_worked_1990_100
bgd,1994,106.0
bgd,1995,108.5999984741211
bgd,1996,111.9000015258789
bgd,1997,114.5999984741211
bgd,1998,117.30000305175781
bgd,1999,120.80000305175781
bgd,2000,123.4000015258789
bgd,2001,122.9000015258789
bgd,2002,123.0999984741211
bgd,2003,122.0999984741211
bgd,2004,121.9000015258789
bgd,2005,121.30000305175781
bgd,2006,122.19999694824219
bgd,2007,123.5
bgd,2008,126.4000015258789
bgd,2009,130.0
bgd,2010,134.0
bgd,2011,138.3000030517578
bgd,2012,142.10000610351562
bgd,2013,146.89999389648438
bgd,2014,151.89999389648438
bgd,2015,157.5
bel,1980,82.5
bel,1981,84.0999984741211
bel,1982,87.19999694824219
bel,1983,88.0
bel,1984,88.9000015258789
bel,1985,89.0999984741211
bel,1986,90.9000015258789
bel,1987,93.19999694824219
bel,1988,96.5
bel,1989,98.9000015258789
bel,1990,100.0
bel,1991,103.80000305175781
bel,1992,107.0999984741211
bel,1993,109.69999694824219
bel,1994,113.80000305175781
bel,1995,112.69999694824219
bel,1996,116.0999984741211
bel,1997,118.5999984741211
bel,1998,118.0999984741211
bel,1999,120.5999984741211
bel,2000,121.5
bel,2001,121.4000015258789
bel,2002,124.0
bel,2003,125.5
bel,2004,129.0
bel,2005,130.1999969482422
bel,2006,131.39999389648438
bel,2007,132.8000030517578
bel,2008,132.1999969482422
bel,2009,130.5
bel,2010,132.39999389648438
bel,2011,131.6999969482422
bel,2012,131.39999389648438
bel,2013,131.8000030517578
bel,2014,132.5
bel,2015,133.1999969482422
bra,1980,115.69999694824219
bra,1981,106.80000305175781
bra,1982,102.5
bra,1983,98.4000015258789
bra,1984,100.5999984741211
bra,1985,101.69999694824219
bra,1986,107.5
bra,1987,107.80000305175781
bra,1988,104.5999984741211
bra,1989,106.4000015258789
bra,1990,100.0
bra,1991,101.4000015258789
bra,1992,101.30000305175781
bra,1993,105.30000305175781
bra,1994,110.30000305175781
bra,1995,114.0999984741211
bra,1996,119.4000015258789
bra,1997,121.80000305175781
bra,1998,122.80000305175781
bra,1999,116.30000305175781
bra,2000,119.4000015258789
bra,2001,121.5
bra,2002,122.69999694824219
bra,2003,121.0
bra,2004,122.69999694824219
bra,2005,123.0
bra,2006,124.30000305175781
bra,2007,129.5
bra,2008,133.1999969482422
bra,2009,136.5
bra,2010,141.3000030517578
bra,2011,142.8000030517578
bra,2012,141.39999389648438
bra,2013,144.1999969482422
bra,2014,144.60000610351562
bra,2015,141.6999969482422
bgr,1990,100.0
bgr,1991,105.69999694824219
bgr,1992,108.0999984741211
bgr,1993,108.19999694824219
bgr,1994,108.0
bgr,1995,110.4000015258789
bgr,1996,97.9000015258789
bgr,1997,100.0
bgr,1998,108.0999984741211
bgr,1999,105.4000015258789
bgr,2000,116.5
bgr,2001,121.0
bgr,2002,126.19999694824219
bgr,2003,130.0
bgr,2004,133.10000610351562
bgr,2005,137.8000030517578
bgr,2006,142.3000030517578
bgr,2007,147.39999389648438
bgr,2008,148.8000030517578
bgr,2009,147.89999389648438
bgr,2010,155.10000610351562
bgr,2011,161.8000030517578
bgr,2012,166.6999969482422
bgr,2013,169.10000610351562
bgr,2014,171.5
bgr,2015,173.1999969482422
can,1980,89.5999984741211
can,1981,90.5
can,1982,91.9000015258789
can,1983,94.4000015258789
can,1984,96.80000305175781
can,1985,98.19999694824219
can,1986,97.9000015258789
can,1987,98.30000305175781
can,1988,99.69999694824219
can,1989,100.0
can,1990,100.0
can,1991,100.80000305175781
can,1992,102.9000015258789
can,1993,104.9000015258789
can,1994,107.0
can,1995,108.4000015258789
can,1996,108.19999694824219
can,1997,110.9000015258789
can,1998,113.19999694824219
can,1999,115.80000305175781
can,2000,119.19999694824219
can,2001,120.5
can,2002,122.19999694824219
can,2003,122.9000015258789
can,2004,123.19999694824219
can,2005,126.19999694824219
can,2006,127.5999984741211
can,2007,127.5
can,2008,127.4000015258789
can,2009,128.5
can,2010,130.39999389648438
can,2011,132.3000030517578
can,2012,132.60000610351562
can,2013,134.0
