country,year,gdp_per_person_engaged_1990_100
alb,1980,98.80000305175781
alb,1981,97.9000015258789
alb,1982,95.9000015258789
alb,1983,95.69999694824219
alb,1984,96.0999984741211
alb,1985,97.19999694824219
alb,1986,96.5999984741211
alb,1987,96.19999694824219
alb,1988,97.0999984741211
alb,1989,97.80000305175781
alb,1990,100.0
alb,1991,73.69999694824219
alb,1992,87.69999694824219
alb,1993,100.5999984741211
alb,1994,98.0999984741211
alb,1995,113.5
alb,1996,126.30000305175781
alb,1997,113.4000015258789
alb,1998,126.19999694824219
alb,1999,145.89999389648438
alb,2000,155.10000610351562
alb,2001,167.39999389648438
alb,2002,174.60000610351562
alb,2003,183.39999389648438
alb,2004,192.8000030517578
alb,2005,203.6999969482422
alb,2006,214.10000610351562
alb,2007,225.8000030517578
alb,2008,236.89999389648438
alb,2009,260.29998779296875
alb,2010,270.20001220703125
alb,2011,270.79998779296875
alb,2012,265.5
alb,2013,281.6000061035156
alb,2014,283.20001220703125
alb,2015,287.6000061035156
dza,1980,115.69999694824219
dza,1981,114.0999984741211
dza,1982,114.30000305175781
dza,1983,114.9000015258789
dza,1984,117.19999694824219
dza,1985,119.30000305175781
dza,1986,114.5
dza,1987,110.0999984741211
dza,1988,104.30000305175781
dza,1989,104.4000015258789
dza,1990,100.0
dza,1991,95.5999984741211
dza,1992,94.9000015258789
dza,1993,91.5
dza,1994,88.69999694824219
dza,1995,87.30000305175781
dza,1996,87.5999984741211
dza,1997,85.69999694824219
dza,1998,87.4000015258789
dza,1999,88.9000015258789
dza,2000,89.9000015258789
dza,2001,87.5999984741211
dza,2002,88.4000015258789
dza,2003,97.9000015258789
dza,2004,87.5
dza,2005,89.80000305175781
dza,2006,82.80000305175781
dza,2007,88.4000015258789
dza,2008,85.0999984741211
dza,2009,83.4000015258789
dza,2010,84.0999984741211
dza,2011,87.69999694824219
dza,2012,85.5
dza,2013,82.9000015258789
dza,2014,84.5999984741211
dza,2015,85.4000015258789
ago,1980,104.5
ago,1981,100.9000015258789
ago,1982,94.5999984741211
ago,1983,90.19999694824219
ago,1984,89.30000305175781
ago,1985,88.4000015258789
ago,1986,79.30000305175781
ago,1987,86.9000015258789
ago,1988,97.9000015258789
ago,1989,98.0999984741211
ago,1990,100.0
ago,1991,98.30000305175781
ago,1992,89.80000305175781
ago,1993,65.5999984741211
ago,1994,64.30000305175781
ago,1995,71.69999694824219
ago,1996,83.69999694824219
ago,1997,86.0999984741211
ago,1998,83.80000305175781
ago,1999,84.19999694824219
ago,2000,84.5
ago,2001,85.0999984741211
ago,2002,95.19999694824219
ago,2003,95.4000015258789
ago,2004,102.69999694824219
ago,2005,120.69999694824219
ago,2006,140.10000610351562
ago,2007,168.89999389648438
ago,2008,187.6999969482422
ago,2009,186.0
ago,2010,186.0
ago,2011,187.10000610351562
ago,2012,190.5
ago,2013,193.6999969482422
ago,2014,195.39999389648438
ago,2015,197.3000030517578
arg,1980,131.60000610351562
arg,1981,123.80000305175781
arg,1982,118.0
arg,1983,118.5
arg,1984,118.19999694824219
arg,1985,109.5999984741211
arg,1986,114.19999694824219
arg,1987,114.80000305175781
arg,1988,110.4000015258789
arg,1989,102.69999694824219
arg,1990,100.0
arg,1991,106.30000305175781
arg,1992,112.5999984741211
arg,1993,120.5
arg,1994,128.0
arg,1995,130.5
arg,1996,134.10000610351562
arg,1997,137.8000030517578
arg,1998,137.6999969482422
arg,1999,133.10000610351562
arg,2000,131.0
arg,2001,126.0999984741211
arg,2002,113.0999984741211
arg,2003,115.9000015258789
arg,2004,116.4000015258789
arg,2005,120.69999694824219
arg,2006,125.80000305175781
arg,2007,130.89999389648438
arg,2008,132.1999969482422
arg,2009,125.80000305175781
arg,2010,132.8000030517578
arg,2011,136.8000030517578
arg,2012,133.8000030517578
arg,2013,135.0
arg,2014,133.5
arg,2015,130.5
arm,1980,104.9000015258789
arm,1981,107.0
arm,1982,109.19999694824219
arm,1983,109.0
arm,1984,111.69999694824219
arm,1985,114.19999694824219
arm,1986,113.19999694824219
arm,1987,107.0999984741211
arm,1988,101.0999984741211
arm,1989,109.80000305175781
arm,1990,100.0
arm,1991,86.19999694824219
arm,1992,53.099998474121094
arm,1993,49.5
arm,1994,54.20000076293945
arm,1995,58.400001525878906
arm,1996,63.5
arm,1997,68.69999694824219
arm,1998,75.5999984741211
arm,1999,80.5
arm,2000,86.5999984741211
arm,2001,95.80000305175781
arm,2002,126.0
arm,2003,143.60000610351562
arm,2004,162.5
arm,2005,182.1999969482422
arm,2006,207.1999969482422
arm,2007,233.6999969482422
arm,2008,246.39999389648438
arm,2009,217.0
arm,2010,218.8000030517578
arm,2011,230.89999389648438
arm,2012,247.89999389648438
arm,2013,258.6000061035156
arm,2014,264.79998779296875
arm,2015,263.70001220703125
aus,1980,90.0
aus,1981,91.5999984741211
aus,1982,91.5
aus,1983,93.0999984741211
aus,1984,96.69999694824219
aus,1985,98.5
aus,1986,96.5999984741211
aus,1987,98.9000015258789
aus,1988,99.80000305175781
aus,1989,100.0
aus,1990,100.0
aus,1991,100.4000015258789
aus,1992,104.0
aus,1993,107.5
aus,1994,109.5999984741211
aus,1995,109.4000015258789
aus,1996,111.69999694824219
aus,1997,115.4000015258789
aus,1998,119.19999694824219
aus,1999,121.80000305175781
aus,2000,122.69999694824219
aus,2001,123.0
aus,2002,125.0
aus,2003,126.0
aus,2004,128.39999389648438
aus,2005,128.8000030517578
aus,2006,128.3000030517578
aus,2007,130.0
aus,2008,130.1999969482422
aus,2009,130.3000030517578
aus,2010,131.0
